process	tag	realtime	%cpu	%mem	rss	peak_rss	peak_vmem	duration	memory
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_PREPROCESS	sim-data_strategy-mvn_n-500_p-500_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7	5.7s	67.0%	0.2%	414.4 MB	414.4 MB	3.1 GB	56.6s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_PREPROCESS	sim-data_strategy-mvn_n-50_p-2500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7	20.2s	85.9%	0.3%	655.3 MB	655.3 MB	829.1 MB	54.1s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREPROCESS	sim-data_strategy-mvn_n-50_p-2500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7	21.7s	85.6%	0.3%	655.3 MB	655.3 MB	829.1 MB	51.8s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:RGCCA:RGCCA_PREPROCESS	tcga-kipan	26.2s	89.3%	0.4%	717.8 MB	733.4 MB	915.8 MB	49.4s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_PREPROCESS	tcga-kipan	12.4s	82.3%	0.3%	515.8 MB	515.8 MB	3.2 GB	47.1s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_PREPROCESS	tcga-kipan	26.1s	88.7%	0.4%	703.2 MB	707.5 MB	885.8 MB	42.3s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:MOFA:MOFA_TRAIN	rosmap-fold_3	10.1s	101.2%	0.3%	583.5 MB	588.7 MB	1.7 GB	39.9s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:MOFA:MOFA_TRAIN	rosmap-fold_5	10s	99.6%	0.3%	586.4 MB	587.6 MB	1.7 GB	37.5s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:MOFA:MOFA_TRAIN	rosmap-fold_1	9.8s	101.6%	0.3%	583.6 MB	583.6 MB	1.7 GB	35.1s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:MOFA:MOFA_TRAIN	rosmap-fold_2	10.2s	100.8%	0.3%	585.9 MB	585.9 MB	1.7 GB	32.7s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:MOFA:MOFA_PREPROCESS	tcga-kipan	41.3s	89.7%	0.5%	903.1 MB	903.1 MB	1.3 GB	1m 15s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:MOFA:MOFA_TRAIN	sim-data_strategy-intersim_n-100_H-200_effect-0_e-1_sigma-def_corr-1-fold_4	9.5s	101.8%	0.3%	588.7 MB	588.7 MB	1.7 GB	43.3s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:MOFA:MOFA_TRAIN	sim-data_strategy-intersim_n-100_H-200_effect-0_e-1_sigma-def_corr-1-fold_3	9.7s	102.3%	0.3%	582.1 MB	582.1 MB	1.7 GB	40.9s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_strategy-intersim_n-500_H-200_effect-0.5_e-1_sigma-def_corr-1-fold_3-null	10s	109.1%	0.3%	642.7 MB	642.7 MB	1.7 GB	38.5s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_strategy-intersim_n-500_H-200_effect-0.5_e-1_sigma-def_corr-1-fold_1-full	9.3s	117.3%	0.3%	554 MB	554 MB	1.6 GB	36.2s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_strategy-intersim_n-500_H-200_effect-0.5_e-1_sigma-def_corr-1-fold_2-full	9.9s	121.0%	0.3%	668 MB	668 MB	1.9 GB	33.8s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_strategy-intersim_n-500_H-200_effect-0.5_e-1_sigma-def_corr-1-fold_1-null	9.1s	114.3%	0.3%	589.4 MB	589.4 MB	1.7 GB	31.4s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_TRAIN	sim-data_strategy-intersim_n-100_H-200_effect-1_e-1_sigma-def_corr-1-fold_4	11.7s	79.8%	0.5%	974.4 MB	974.4 MB	9 GB	21m 47s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_TRAIN	sim-data_strategy-intersim_n-500_H-200_effect-0.5_e-1_sigma-def_corr-0-fold_5	11.8s	82.1%	0.5%	1000.6 MB	1000.6 MB	9.5 GB	20m 47s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_TRAIN	sim-data_strategy-intersim_n-500_H-200_effect-0.5_e-1_sigma-def_corr-0-fold_2	11.6s	82.6%	0.5%	977.6 MB	977.6 MB	9.5 GB	20m 45s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_TRAIN	sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-0.5-fold_4	12s	83.2%	0.5%	995.4 MB	995.4 MB	9.5 GB	20m 28s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_TRAIN	sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-0.5-fold_1	12.6s	84.5%	0.5%	1000 MB	1000 MB	9.5 GB	20m 25s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_TRAIN	tcga-brca-fold_5	13.9s	78.6%	0.5%	999.8 MB	999.8 MB	9.3 GB	16m 45s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_TRAIN	sim-data_strategy-intersim_n-100_H-200_effect-0_e-1_sigma-def_corr-1-fold_1	37.9s	545.1%	0.4%	694.7 MB	695.4 MB	1.9 GB	1m 23s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_TRAIN	sim-data_strategy-intersim_n-100_H-200_effect-0_e-1_sigma-def_corr-1-fold_5	37.9s	555.8%	0.4%	694.2 MB	696.3 MB	1.9 GB	1m 21s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_TRAIN	sim-data_strategy-intersim_n-100_H-200_effect-0_e-1_sigma-def_corr-1-fold_3	37.5s	553.7%	0.4%	695.1 MB	695.5 MB	1.9 GB	1m 18s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_TRAIN	sim-data_strategy-intersim_n-100_H-200_effect-0_e-1_sigma-def_corr-1-fold_4	40.6s	547.2%	0.4%	695.6 MB	695.6 MB	1.9 GB	1m 16s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_strategy-intersim_n-500_H-200_effect-0.5_e-1_sigma-def_corr-1-fold_3-full	9.5s	120.6%	0.3%	553.9 MB	553.9 MB	1.6 GB	59.1s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_strategy-intersim_n-500_H-200_effect-0.5_e-1_sigma-def_corr-1-fold_4-full	9.7s	117.7%	0.3%	551.5 MB	551.5 MB	1.6 GB	56.7s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_strategy-intersim_n-500_H-200_effect-0.5_e-1_sigma-def_corr-1-fold_5-full	9.7s	118.9%	0.3%	551.2 MB	551.2 MB	1.6 GB	54.3s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:MOFA:MOFA_TRAIN	sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-1-fold_3	10.2s	101.9%	0.3%	619.4 MB	619.4 MB	1.8 GB	30.4s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:FEATURE_SELECTION:COOPERATIVE_LEARNING_SELECT_FEATURE	sim-data_strategy-mvn_n-500_p-1000_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7	12m 22s	714.9%	0.5%	983.6 MB	986.4 MB	2.7 GB	12m 50s	72 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:RGCCA:RGCCA_TRAIN	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0-fold_1-sgcca	10.9s	111.2%	0.4%	685.7 MB	685.7 MB	1.9 GB	48.1s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:RGCCA:RGCCA_TRAIN	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0-fold_3-rgcca	10.8s	110.7%	0.3%	582 MB	582 MB	1.7 GB	45.7s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:RGCCA:RGCCA_TRAIN	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0-fold_2-rgcca	10.6s	111.0%	0.3%	582.6 MB	582.6 MB	1.7 GB	43.3s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:RGCCA:RGCCA_TRAIN	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0-fold_3-sgcca	10.9s	111.4%	0.4%	685.8 MB	685.8 MB	1.9 GB	41s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:RGCCA:RGCCA_TRAIN	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0-fold_2-sgcca	11.4s	110.1%	0.3%	651.8 MB	651.8 MB	1.7 GB	38.6s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:RGCCA:RGCCA_TRAIN	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0-fold_4-rgcca	17.6s	65.7%	0.3%	576.2 MB	576.2 MB	1.7 GB	36.2s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:RGCCA:RGCCA_TRAIN	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0-fold_4-sgcca	10.4s	110.5%	0.3%	613.9 MB	613.9 MB	1.7 GB	33.8s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:RGCCA:RGCCA_TRAIN	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0-fold_5-sgcca	10.3s	110.0%	0.3%	618.9 MB	618.9 MB	1.7 GB	31.4s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:FEATURE_SELECTION:MOGONET_SELECT_FEATURE	sim-data_strategy-mvn_n-50_p-2500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7	6m 11s	99.0%	0.5%	928.5 MB	928.5 MB	9.7 GB	4h 13m 54s	72 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_TRAIN	tcga-brca-fold_1	13.4s	83.5%	0.5%	975.7 MB	975.7 MB	9.3 GB	17m 42s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_TRAIN	tcga-brca-fold_2	13.3s	82.8%	0.5%	1003.8 MB	1003.8 MB	9.3 GB	17m 40s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_TRAIN	sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-0.5-fold_5	11.3s	80.3%	0.5%	973.9 MB	973.9 MB	9 GB	2m 30s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_TRAIN	sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-0.5-fold_2	11.5s	79.2%	0.5%	997.2 MB	997.2 MB	9 GB	2m 28s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_TRAIN	sim-data_strategy-intersim_n-100_H-200_effect-0.5_e-1_sigma-def_corr-0.5-fold_1	12.2s	80.9%	0.5%	972 MB	972 MB	9 GB	2m 25s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_TRAIN	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0.5-fold_3	11.4s	79.9%	0.5%	1003.9 MB	1003.9 MB	9 GB	1m 28s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-1-fold_3-null	9.4s	106.8%	0.3%	551.1 MB	551.1 MB	1.6 GB	59s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-1-fold_3-full	9.4s	110.7%	0.3%	551.2 MB	551.2 MB	1.6 GB	56.6s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-1-fold_1-null	9.8s	106.9%	0.3%	628.3 MB	628.3 MB	1.7 GB	54.3s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-1-fold_2-full	9.8s	120.3%	0.3%	551.3 MB	551.3 MB	1.6 GB	51.9s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-1-fold_2-null	9.2s	107.8%	0.3%	580 MB	580 MB	1.7 GB	49.4s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-1-fold_1-full	9.4s	112.4%	0.3%	552.6 MB	552.6 MB	1.6 GB	47.1s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-1-fold_5-null	9.3s	107.1%	0.3%	552.4 MB	552.4 MB	1.6 GB	44.7s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:RGCCA:RGCCA_TRAIN	sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-0.5-fold_1-sgcca	10.5s	108.7%	0.3%	606.2 MB	606.2 MB	1.7 GB	42.3s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:RGCCA:RGCCA_TRAIN	sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-0.5-fold_1-rgcca	10.8s	110.7%	0.3%	584 MB	584 MB	1.7 GB	40s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:RGCCA:RGCCA_TRAIN	sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-0.5-fold_2-sgcca	10.7s	109.1%	0.3%	583.6 MB	583.6 MB	1.7 GB	37.6s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:RGCCA:RGCCA_TRAIN	sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-0.5-fold_2-rgcca	10.6s	106.4%	0.3%	583.9 MB	583.9 MB	1.7 GB	35.2s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:RGCCA:RGCCA_TRAIN	sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-0.5-fold_3-sgcca	11.1s	111.0%	0.3%	579.4 MB	579.4 MB	1.7 GB	32.8s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:RGCCA:RGCCA_TRAIN	sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-0.5-fold_4-rgcca	10.1s	111.2%	0.3%	618.8 MB	618.8 MB	1.7 GB	30.4s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:RGCCA:RGCCA_TRAIN	sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-0.5-fold_4-sgcca	9.9s	111.4%	0.3%	648.1 MB	648.1 MB	1.7 GB	28s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_TRAIN	sim-data_strategy-intersim_n-500_H-200_effect-0.5_e-1_sigma-def_corr-1-fold_4	1m 56s	452.7%	0.4%	735.4 MB	739.4 MB	1.9 GB	2m 15s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_TRAIN	sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-1-fold_3	1m 54s	461.5%	0.4%	744 MB	744 MB	1.9 GB	2m 10s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_TRAIN	sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-1-fold_2	1m 56s	457.3%	0.4%	740.8 MB	747.3 MB	1.9 GB	2m 7s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_TRAIN	sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-1-fold_1	1m 57s	461.8%	0.4%	743.8 MB	748.8 MB	1.9 GB	2m 5s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_TRAIN	sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-1-fold_4	1m 55s	468.5%	0.4%	746.6 MB	748.4 MB	1.9 GB	2m 3s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:RGCCA:RGCCA_TRAIN	sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-0.5-fold_5-rgcca	10.6s	111.4%	0.3%	608.3 MB	608.3 MB	1.7 GB	55.4s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:RGCCA:RGCCA_TRAIN	sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-1-fold_1-sgcca	10.6s	110.6%	0.3%	616.2 MB	616.2 MB	1.7 GB	53.1s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:RGCCA:RGCCA_TRAIN	sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-1-fold_2-sgcca	10.8s	111.6%	0.3%	578.5 MB	578.5 MB	1.7 GB	50.7s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:RGCCA:RGCCA_TRAIN	sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-1-fold_2-rgcca	10.1s	114.3%	0.3%	625.8 MB	625.8 MB	1.7 GB	48.3s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:RGCCA:RGCCA_TRAIN	sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-1-fold_1-rgcca	10.5s	110.5%	0.3%	612.4 MB	612.4 MB	1.7 GB	45.9s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:RGCCA:RGCCA_TRAIN	sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-1-fold_3-sgcca	10.4s	110.5%	0.3%	618.9 MB	618.9 MB	1.7 GB	43.5s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:RGCCA:RGCCA_TRAIN	sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-1-fold_3-rgcca	10.3s	110.2%	0.3%	621.3 MB	621.3 MB	1.7 GB	41.1s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:RGCCA:RGCCA_TRAIN	sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-1-fold_4-rgcca	10.3s	111.3%	0.3%	626.7 MB	626.7 MB	1.7 GB	38.7s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:RGCCA:RGCCA_TRAIN	sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-1-fold_5-rgcca	11s	110.3%	0.3%	581.5 MB	581.5 MB	1.7 GB	36.4s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:RGCCA:RGCCA_TRAIN	sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-1-fold_5-sgcca	10.6s	110.3%	0.3%	616 MB	616 MB	1.7 GB	34s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_TRAIN	sim-data_strategy-intersim_n-50_H-200_effect-1_e-1_sigma-def_corr-0-fold_5	26.1s	515.3%	0.4%	692.8 MB	697 MB	1.9 GB	29.2s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:FEATURE_SELECTION:MOGONET_SELECT_FEATURE	sim-data_strategy-mvn_n-50_p-2500_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7	3m 9s	99.4%	0.5%	943.9 MB	943.9 MB	9.7 GB	12m 47s	72 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_TRAIN	sim-data_strategy-intersim_n-500_H-200_effect-0.5_e-1_sigma-def_corr-1-fold_1	1m 58s	469.8%	0.4%	732.1 MB	736.5 MB	1.9 GB	2m 52s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_TRAIN	sim-data_strategy-intersim_n-500_H-200_effect-0.5_e-1_sigma-def_corr-1-fold_5	2m 6s	466.1%	0.4%	735.3 MB	735.3 MB	1.9 GB	2m 49s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_TRAIN	sim-data_strategy-intersim_n-500_H-200_effect-0.5_e-1_sigma-def_corr-1-fold_3	1m 59s	471.9%	0.4%	737.1 MB	742.8 MB	1.9 GB	2m 47s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_TRAIN	sim-data_strategy-intersim_n-500_H-200_effect-0.5_e-1_sigma-def_corr-1-fold_2	1m 59s	452.7%	0.4%	736 MB	738 MB	1.9 GB	2m 42s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_TRAIN	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0.5-fold_4	11.7s	78.4%	0.5%	1001.9 MB	1001.9 MB	9 GB	2m 25s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_TRAIN	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0.5-fold_2	11.6s	79.1%	0.5%	1003.7 MB	1003.7 MB	9 GB	2m 23s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_TRAIN	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0.5-fold_5	11.3s	78.7%	0.5%	977.8 MB	977.8 MB	9 GB	2m 21s	16 GB
