process	tag	realtime	%cpu	%mem	rss	peak_rss	peak_vmem	duration	memory
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_PREDICT	sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-0.5-fold_2	5.8s	53.5%	0.4%	724.9 MB	724.9 MB	8.4 GB	18.5s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_TRAIN	sim-data_strategy-mvn_n-500_p-2500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7-fold_3	19m 36s	281.5%	0.6%	1.1 GB	1.1 GB	2.3 GB	20m 5s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_TRAIN	sim-data_strategy-mvn_n-500_p-2500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7-fold_4	19m 39s	285.3%	0.6%	1.1 GB	1.2 GB	2.4 GB	20m	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_PREDICT	sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-0.5-fold_4	5.3s	54.4%	0.4%	715.1 MB	715.1 MB	8.4 GB	45.8s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_PYTHON:MOGONET:MOGONET_PREDICT	sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-0.5-fold_3	5.3s	54.5%	0.4%	697.3 MB	697.3 MB	8.4 GB	43.4s	16 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:MOFA:MOFA_PREDICT	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0.5-fold_4	8.3s	81.3%	0.3%	490.6 MB	490.6 MB	682.4 MB	41s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:MOFA:MOFA_PREDICT	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0.5-fold_5	8.9s	79.5%	0.2%	446.5 MB	446.5 MB	574.6 MB	39s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:MOFA:MOFA_PREDICT	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0.5-fold_3	7.8s	82.6%	0.2%	438.7 MB	438.7 MB	562.7 MB	36.6s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:MOFA:MOFA_PREDICT	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0.5-fold_2	7.8s	82.2%	0.3%	492.4 MB	492.4 MB	683.7 MB	34.2s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:MOFA:MOFA_PREDICT	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0.5-fold_1	8.9s	79.2%	0.2%	438.7 MB	438.7 MB	562.7 MB	31.8s	6 GB
