method_name,dataset,fold,accuracy,balanced_accuracy,precision,average_precision_score,recall,f1_score,auc,log_loss,phi_coefficient
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-0.5_e-1_sigma-def_corr-0,fold_4,0.6,0.6,0.596,0.56,0.62,0.608,0.659,14.417,0.2
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-0.5_e-1_sigma-def_corr-0,fold_5,0.62,0.62,0.643,0.577,0.54,0.587,0.698,13.697,0.243
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-0.5_e-1_sigma-def_corr-0.5,fold_1,0.64,0.64,0.646,0.59,0.62,0.633,0.746,12.976,0.28
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-0.5_e-1_sigma-def_corr-0.5,fold_2,0.61,0.61,0.604,0.566,0.64,0.621,0.634,14.057,0.22
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-0.5_e-1_sigma-def_corr-0.5,fold_3,0.69,0.69,0.711,0.635,0.64,0.674,0.749,11.174,0.382
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-0.5_e-1_sigma-def_corr-0.5,fold_4,0.65,0.65,0.674,0.601,0.58,0.624,0.692,12.615,0.303
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-0.5_e-1_sigma-def_corr-0.5,fold_5,0.74,0.74,0.714,0.671,0.8,0.755,0.773,9.371,0.483
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-0.5_e-1_sigma-def_corr-1,fold_1,0.69,0.69,0.711,0.635,0.64,0.674,0.783,11.174,0.382
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-0.5_e-1_sigma-def_corr-1,fold_2,0.61,0.61,0.608,0.567,0.62,0.614,0.713,14.057,0.22
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-0.5_e-1_sigma-def_corr-1,fold_3,0.74,0.74,0.714,0.671,0.8,0.755,0.732,9.371,0.483
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-0.5_e-1_sigma-def_corr-1,fold_4,0.61,0.61,0.593,0.565,0.7,0.642,0.672,14.057,0.224
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-0.5_e-1_sigma-def_corr-1,fold_5,0.66,0.66,0.69,0.61,0.58,0.63,0.747,12.255,0.324
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-0,fold_1,0.55,0.55,0.551,0.528,0.54,0.545,0.518,16.22,0.1
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-0,fold_2,0.44,0.44,0.446,0.473,0.5,0.472,0.443,20.184,-0.121
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-0,fold_3,0.57,0.57,0.595,0.542,0.44,0.506,0.565,15.499,0.145
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-0,fold_4,0.58,0.58,0.577,0.546,0.6,0.588,0.599,15.138,0.16
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-0,fold_5,0.52,0.52,0.522,0.51,0.48,0.5,0.508,17.301,0.04
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-0.5,fold_1,0.44,0.44,0.446,0.473,0.5,0.472,0.483,20.184,-0.121
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-0.5,fold_2,0.58,0.58,0.595,0.548,0.5,0.543,0.587,15.138,0.162
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-0.5,fold_3,0.49,0.49,0.488,0.495,0.42,0.452,0.51,18.382,-0.02
