method_name,dataset,fold,accuracy,balanced_accuracy,precision,average_precision_score,recall,f1_score,auc,log_loss,phi_coefficient
mofa,sim-data_strategy-intersim_n-500_H-200_effect-0.5_e-1_sigma-def_corr-1,fold_5,0.63,0.63,0.614,0.58,0.7,0.654,0.679,13.336,0.263
mofa,sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-0,fold_1,0.63,0.63,0.614,0.58,0.7,0.654,0.624,13.336,0.263
mofa,sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-0,fold_2,0.51,0.51,0.514,0.505,0.38,0.437,0.525,17.661,0.021
mofa,sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-0,fold_3,0.51,0.51,0.51,0.505,0.52,0.515,0.515,17.661,0.02
mofa,sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-0,fold_4,0.49,0.49,0.49,0.495,0.5,0.495,0.49,18.382,-0.02
mofa,sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-0,fold_5,0.5,0.5,0.5,0.5,0.56,0.528,0.523,18.022,0.0
mofa,sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-0.5,fold_1,0.57,0.57,0.571,0.54,0.56,0.566,0.574,15.499,0.14
mofa,sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-0.5,fold_2,0.58,0.58,0.571,0.546,0.64,0.604,0.585,15.138,0.161
mofa,sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-0.5,fold_3,0.55,0.55,0.547,0.527,0.58,0.563,0.537,16.22,0.1
mofa,sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-0.5,fold_4,0.47,0.47,0.469,0.486,0.46,0.465,0.475,19.103,-0.06
mofa,sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-0.5,fold_5,0.45,0.45,0.453,0.477,0.48,0.466,0.472,19.824,-0.1
mofa,sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-1,fold_1,0.48,0.48,0.477,0.49,0.42,0.447,0.519,18.743,-0.04
mofa,sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-1,fold_2,0.51,0.51,0.511,0.505,0.48,0.495,0.499,17.661,0.02
mofa,sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-1,fold_3,0.5,0.5,0.5,0.5,0.54,0.519,0.495,18.022,0.0
mofa,sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-1,fold_4,0.52,0.52,0.52,0.51,0.52,0.52,0.55,17.301,0.04
mofa,sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-1,fold_5,0.47,0.47,0.471,0.486,0.48,0.475,0.505,19.103,-0.06
mofa,sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-0,fold_1,0.97,0.97,0.961,0.952,0.98,0.97,0.996,1.081,0.94
mofa,sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-0,fold_2,0.94,0.94,0.958,0.922,0.92,0.939,0.987,2.163,0.881
mofa,sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-0,fold_3,0.95,0.95,0.959,0.932,0.94,0.949,0.987,1.802,0.9
mofa,sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-0,fold_4,0.93,0.93,0.922,0.896,0.94,0.931,0.986,2.523,0.86
mofa,sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-0,fold_5,0.98,0.98,0.962,0.962,1.0,0.98,0.998,0.721,0.961
mofa,sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-0.5,fold_1,0.97,0.97,0.943,0.943,1.0,0.971,0.994,1.081,0.942
mofa,sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-0.5,fold_2,0.98,0.98,0.98,0.97,0.98,0.98,0.997,0.721,0.96
mofa,sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-0.5,fold_3,0.93,0.93,0.922,0.896,0.94,0.931,0.989,2.523,0.86
mofa,sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-0.5,fold_4,0.97,0.97,0.98,0.96,0.96,0.97,0.995,1.081,0.94
mofa,sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-0.5,fold_5,0.95,0.95,0.925,0.916,0.98,0.951,0.995,1.802,0.902
mofa,sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-1,fold_1,0.89,0.89,0.953,0.872,0.82,0.882,0.963,3.965,0.788
mofa,sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-1,fold_2,0.98,0.98,1.0,0.98,0.96,0.98,0.999,0.721,0.961
mofa,sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-1,fold_3,0.87,0.87,0.849,0.814,0.9,0.874,0.95,4.686,0.741
mofa,sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-1,fold_4,0.89,0.89,0.842,0.828,0.96,0.897,0.979,3.965,0.788
mofa,sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-1,fold_5,0.94,0.94,0.958,0.922,0.92,0.939,0.984,2.163,0.881
mofa,sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0,fold_1,0.5,0.5,0.5,0.5,0.8,0.615,0.64,18.022,0.0
mofa,sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0,fold_2,0.4,0.4,0.4,0.46,0.4,0.4,0.44,21.626,-0.2
mofa,sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0,fold_3,0.7,0.7,0.75,0.65,0.6,0.667,0.84,10.813,0.408
mofa,sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0,fold_4,0.7,0.7,0.75,0.65,0.6,0.667,0.72,10.813,0.408
mofa,sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0,fold_5,0.7,0.7,1.0,0.7,0.4,0.571,0.76,10.813,0.5
mofa,sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0.5,fold_1,0.3,0.3,0.25,0.45,0.2,0.222,0.4,25.231,-0.408
mofa,sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0.5,fold_2,0.5,0.5,0.5,0.5,0.6,0.545,0.64,18.022,0.0
mofa,sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0.5,fold_3,0.3,0.3,0.25,0.45,0.2,0.222,0.48,25.231,-0.408
mofa,sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0.5,fold_4,0.3,0.3,0.25,0.45,0.2,0.222,0.48,25.231,-0.408
mofa,sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0.5,fold_5,0.7,0.7,0.667,0.633,0.8,0.727,0.72,10.813,0.408
mofa,sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-1,fold_1,0.6,0.6,0.6,0.56,0.6,0.6,0.52,14.417,0.2
mofa,sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-1,fold_2,0.4,0.4,0.4,0.46,0.4,0.4,0.24,21.626,-0.2
mofa,sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-1,fold_3,0.7,0.7,0.667,0.633,0.8,0.727,0.76,10.813,0.408
mofa,sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-1,fold_4,0.5,0.5,0.5,0.5,0.4,0.444,0.64,18.022,0.0
mofa,sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-1,fold_5,0.5,0.5,0.5,0.5,0.6,0.545,0.6,18.022,0.0
mofa,sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-0,fold_1,0.6,0.6,0.571,0.557,0.8,0.667,0.52,14.417,0.218
mofa,sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-0,fold_2,0.6,0.6,0.6,0.56,0.6,0.6,0.56,14.417,0.2
mofa,sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-0,fold_3,0.6,0.6,0.667,0.567,0.4,0.5,0.64,14.417,0.218
mofa,sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-0,fold_4,0.5,0.5,0.5,0.5,0.6,0.545,0.36,18.022,0.0
mofa,sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-0,fold_5,0.5,0.5,0.5,0.5,0.6,0.545,0.48,18.022,0.0
mofa,sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-0.5,fold_1,0.3,0.3,0.333,0.433,0.4,0.364,0.16,25.231,-0.408
mofa,sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-0.5,fold_2,0.2,0.2,0.2,0.44,0.2,0.2,0.2,28.835,-0.6
mofa,sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-0.5,fold_3,0.6,0.6,0.6,0.56,0.6,0.6,0.56,14.417,0.2
mofa,sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-0.5,fold_4,0.3,0.3,0.333,0.433,0.4,0.364,0.36,25.231,-0.408
mofa,sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-0.5,fold_5,0.2,0.2,0.2,0.44,0.2,0.2,0.2,28.835,-0.6
mofa,sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-1,fold_1,0.6,0.6,0.6,0.56,0.6,0.6,0.64,14.417,0.2
mofa,sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-1,fold_2,0.6,0.6,0.667,0.567,0.4,0.5,0.52,14.417,0.218
mofa,sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-1,fold_3,0.6,0.6,0.667,0.567,0.4,0.5,0.56,14.417,0.218
mofa,sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-1,fold_4,0.7,0.7,0.75,0.65,0.6,0.667,0.56,10.813,0.408
mofa,sim-data_strategy-intersim_n-50_H-200_effect-0_e-1_sigma-def_corr-1,fold_5,0.5,0.5,0.5,0.5,0.6,0.545,0.56,18.022,0.0
mofa,sim-data_strategy-intersim_n-50_H-200_effect-1_e-1_sigma-def_corr-0,fold_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
mofa,sim-data_strategy-intersim_n-50_H-200_effect-1_e-1_sigma-def_corr-0,fold_2,0.9,0.9,0.833,0.833,1.0,0.909,1.0,3.604,0.816
mofa,sim-data_strategy-intersim_n-50_H-200_effect-1_e-1_sigma-def_corr-0,fold_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
mofa,sim-data_strategy-intersim_n-50_H-200_effect-1_e-1_sigma-def_corr-0,fold_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
mofa,sim-data_strategy-intersim_n-50_H-200_effect-1_e-1_sigma-def_corr-0,fold_5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
mofa,sim-data_strategy-intersim_n-50_H-200_effect-1_e-1_sigma-def_corr-0.5,fold_1,0.9,0.9,1.0,0.9,0.8,0.889,0.9,3.604,0.816
mofa,sim-data_strategy-intersim_n-50_H-200_effect-1_e-1_sigma-def_corr-0.5,fold_2,0.8,0.8,0.8,0.74,0.8,0.8,0.86,7.209,0.6
mofa,sim-data_strategy-intersim_n-50_H-200_effect-1_e-1_sigma-def_corr-0.5,fold_3,0.8,0.8,0.8,0.74,0.8,0.8,0.86,7.209,0.6
mofa,sim-data_strategy-intersim_n-50_H-200_effect-1_e-1_sigma-def_corr-0.5,fold_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
mofa,sim-data_strategy-intersim_n-50_H-200_effect-1_e-1_sigma-def_corr-0.5,fold_5,0.9,0.9,0.833,0.833,1.0,0.909,1.0,3.604,0.816
mofa,sim-data_strategy-intersim_n-50_H-200_effect-1_e-1_sigma-def_corr-1,fold_1,0.9,0.9,0.833,0.833,1.0,0.909,0.96,3.604,0.816
mofa,sim-data_strategy-intersim_n-50_H-200_effect-1_e-1_sigma-def_corr-1,fold_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
mofa,sim-data_strategy-intersim_n-50_H-200_effect-1_e-1_sigma-def_corr-1,fold_3,0.9,0.9,0.833,0.833,1.0,0.909,1.0,3.604,0.816
mofa,sim-data_strategy-intersim_n-50_H-200_effect-1_e-1_sigma-def_corr-1,fold_4,0.9,0.9,0.833,0.833,1.0,0.909,1.0,3.604,0.816
mofa,sim-data_strategy-intersim_n-50_H-200_effect-1_e-1_sigma-def_corr-1,fold_5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
mofa,sim-data_strategy-mvn_n-100_p-1000_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_1,0.75,0.742,0.75,0.714,0.818,0.783,0.828,9.011,0.492
mofa,sim-data_strategy-mvn_n-100_p-1000_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_2,0.7,0.697,0.727,0.679,0.727,0.727,0.707,10.813,0.394
mofa,sim-data_strategy-mvn_n-100_p-1000_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_3,0.7,0.707,0.778,0.695,0.636,0.7,0.848,10.813,0.414
mofa,sim-data_strategy-mvn_n-100_p-1000_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_4,0.6,0.576,0.6,0.591,0.818,0.692,0.455,14.417,0.174
mofa,sim-data_strategy-mvn_n-100_p-1000_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_5,0.5,0.505,0.556,0.553,0.455,0.5,0.596,18.022,0.01
mofa,sim-data_strategy-mvn_n-100_p-1000_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_1,0.5,0.479,0.375,0.391,0.375,0.375,0.479,18.022,-0.042
mofa,sim-data_strategy-mvn_n-100_p-1000_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_2,0.6,0.562,0.5,0.438,0.375,0.429,0.531,14.417,0.134
mofa,sim-data_strategy-mvn_n-100_p-1000_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_3,0.65,0.621,0.75,0.55,0.333,0.462,0.783,12.615,0.302
mofa,sim-data_strategy-mvn_n-100_p-1000_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_4,0.6,0.596,0.556,0.509,0.556,0.556,0.586,14.417,0.192
mofa,sim-data_strategy-mvn_n-100_p-1000_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_5,0.75,0.732,0.833,0.663,0.556,0.667,0.727,9.011,0.504
mofa,sim-data_strategy-mvn_n-100_p-1000_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_1,0.5,0.458,0.571,0.581,0.667,0.615,0.469,18.022,-0.089
mofa,sim-data_strategy-mvn_n-100_p-1000_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_2,0.75,0.688,0.706,0.706,1.0,0.828,0.734,9.011,0.514
mofa,sim-data_strategy-mvn_n-100_p-1000_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_3,0.5,0.438,0.562,0.572,0.75,0.643,0.51,18.022,-0.153
mofa,sim-data_strategy-mvn_n-100_p-1000_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_4,0.55,0.521,0.615,0.61,0.667,0.64,0.568,16.22,0.043
mofa,sim-data_strategy-mvn_n-100_p-1000_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_5,0.5,0.479,0.583,0.59,0.583,0.583,0.396,18.022,-0.042
mofa,sim-data_strategy-mvn_n-100_p-2500_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_1,0.5,0.484,0.636,0.643,0.538,0.583,0.451,18.022,-0.032
mofa,sim-data_strategy-mvn_n-100_p-2500_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_2,0.6,0.495,0.647,0.648,0.846,0.733,0.495,14.417,-0.015
mofa,sim-data_strategy-mvn_n-100_p-2500_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_3,0.6,0.521,0.611,0.61,0.917,0.733,0.745,14.417,0.068
mofa,sim-data_strategy-mvn_n-100_p-2500_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_4,0.5,0.417,0.556,0.563,0.833,0.667,0.438,18.022,-0.272
mofa,sim-data_strategy-mvn_n-100_p-2500_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_5,0.7,0.625,0.667,0.667,1.0,0.8,0.656,10.813,0.408
mofa,sim-data_strategy-mvn_n-100_p-2500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_1,0.4,0.4,0.4,0.46,0.4,0.4,0.38,21.626,-0.2
mofa,sim-data_strategy-mvn_n-100_p-2500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_2,0.4,0.4,0.375,0.462,0.3,0.333,0.355,21.626,-0.204
mofa,sim-data_strategy-mvn_n-100_p-2500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_3,0.4,0.4,0.375,0.462,0.3,0.333,0.415,21.626,-0.204
mofa,sim-data_strategy-mvn_n-100_p-2500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_4,0.6,0.6,0.571,0.557,0.8,0.667,0.42,14.417,0.218
mofa,sim-data_strategy-mvn_n-100_p-2500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_5,0.5,0.475,0.4,0.439,0.222,0.286,0.48,18.022,-0.058
mofa,sim-data_strategy-mvn_n-100_p-2500_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_1,0.5,0.475,0.4,0.439,0.222,0.286,0.323,18.022,-0.058
mofa,sim-data_strategy-mvn_n-100_p-2500_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_2,0.4,0.384,0.286,0.413,0.222,0.25,0.394,21.626,-0.242
mofa,sim-data_strategy-mvn_n-100_p-2500_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_3,0.35,0.312,0.143,0.368,0.125,0.133,0.344,23.428,-0.385
mofa,sim-data_strategy-mvn_n-100_p-2500_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_4,0.5,0.438,0.25,0.381,0.125,0.167,0.521,18.022,-0.153
mofa,sim-data_strategy-mvn_n-100_p-2500_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_5,0.55,0.479,0.333,0.392,0.125,0.182,0.344,16.22,-0.057
mofa,sim-data_strategy-mvn_n-100_p-500_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_1,0.35,0.35,0.364,0.445,0.4,0.381,0.4,23.428,-0.302
mofa,sim-data_strategy-mvn_n-100_p-500_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_2,0.45,0.45,0.444,0.478,0.4,0.421,0.385,19.824,-0.101
mofa,sim-data_strategy-mvn_n-100_p-500_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_3,0.5,0.5,0.5,0.5,0.7,0.583,0.545,18.022,0.0
mofa,sim-data_strategy-mvn_n-100_p-500_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_4,0.5,0.5,0.5,0.5,1.0,0.667,0.55,18.022,0.0
mofa,sim-data_strategy-mvn_n-100_p-500_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_5,0.55,0.561,0.625,0.584,0.455,0.526,0.707,16.22,0.123
mofa,sim-data_strategy-mvn_n-100_p-500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_1,0.5,0.5,0.5,0.5,0.7,0.583,0.38,18.022,0.0
mofa,sim-data_strategy-mvn_n-100_p-500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_2,0.4,0.4,0.4,0.46,0.4,0.4,0.47,21.626,-0.2
mofa,sim-data_strategy-mvn_n-100_p-500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_3,0.5,0.5,0.5,0.5,0.4,0.444,0.595,18.022,0.0
mofa,sim-data_strategy-mvn_n-100_p-500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_4,0.55,0.53,0.5,0.467,0.333,0.4,0.641,16.22,0.066
mofa,sim-data_strategy-mvn_n-100_p-500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_5,0.5,0.515,0.462,0.458,0.667,0.545,0.551,18.022,0.032
mofa,sim-data_strategy-mvn_n-100_p-500_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_1,0.4,0.396,0.3,0.362,0.375,0.333,0.427,21.626,-0.204
mofa,sim-data_strategy-mvn_n-100_p-500_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_2,0.6,0.583,0.5,0.45,0.5,0.5,0.781,14.417,0.167
mofa,sim-data_strategy-mvn_n-100_p-500_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_3,0.4,0.354,0.167,0.371,0.125,0.143,0.323,21.626,-0.312
mofa,sim-data_strategy-mvn_n-100_p-500_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_4,0.7,0.667,0.667,0.533,0.5,0.571,0.771,10.813,0.356
mofa,sim-data_strategy-mvn_n-100_p-500_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_5,0.65,0.604,0.6,0.475,0.375,0.462,0.729,12.615,0.236
mofa,sim-data_strategy-mvn_n-500_p-1000_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_1,0.45,0.445,0.476,0.495,0.577,0.522,0.435,19.824,-0.114
mofa,sim-data_strategy-mvn_n-500_p-1000_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_2,0.47,0.469,0.482,0.495,0.529,0.505,0.407,19.103,-0.063
mofa,sim-data_strategy-mvn_n-500_p-1000_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_3,0.43,0.427,0.453,0.478,0.569,0.504,0.411,20.545,-0.152
mofa,sim-data_strategy-mvn_n-500_p-1000_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_4,0.55,0.545,0.539,0.534,0.804,0.646,0.49,16.22,0.105
mofa,sim-data_strategy-mvn_n-500_p-1000_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_5,0.48,0.477,0.492,0.499,0.627,0.552,0.459,18.743,-0.048
mofa,sim-data_strategy-mvn_n-500_p-1000_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_1,0.42,0.42,0.408,0.457,0.408,0.408,0.441,20.905,-0.16
mofa,sim-data_strategy-mvn_n-500_p-1000_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_2,0.51,0.51,0.5,0.495,0.49,0.495,0.529,17.661,0.019
mofa,sim-data_strategy-mvn_n-500_p-1000_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_3,0.52,0.521,0.509,0.501,0.551,0.529,0.491,17.301,0.041
mofa,sim-data_strategy-mvn_n-500_p-1000_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_4,0.47,0.47,0.462,0.486,0.36,0.404,0.47,19.103,-0.062
mofa,sim-data_strategy-mvn_n-500_p-1000_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_5,0.45,0.45,0.447,0.478,0.42,0.433,0.463,19.824,-0.1
mofa,sim-data_strategy-mvn_n-500_p-1000_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_1,0.63,0.63,0.676,0.588,0.5,0.575,0.694,13.336,0.269
mofa,sim-data_strategy-mvn_n-500_p-1000_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_2,0.66,0.66,0.633,0.601,0.76,0.691,0.725,12.255,0.327
mofa,sim-data_strategy-mvn_n-500_p-1000_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_3,0.68,0.679,0.667,0.627,0.745,0.704,0.75,11.534,0.361
mofa,sim-data_strategy-mvn_n-500_p-1000_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_4,0.7,0.701,0.733,0.655,0.647,0.688,0.709,10.813,0.404
mofa,sim-data_strategy-mvn_n-500_p-1000_sigma-39_j-5_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_5,0.66,0.661,0.681,0.617,0.627,0.653,0.709,12.255,0.322
mofa,sim-data_strategy-mvn_n-500_p-2500_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_1,0.5,0.498,0.487,0.489,0.388,0.432,0.518,18.022,-0.005
mofa,sim-data_strategy-mvn_n-500_p-2500_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_2,0.52,0.519,0.512,0.5,0.449,0.478,0.51,17.301,0.038
mofa,sim-data_strategy-mvn_n-500_p-2500_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_3,0.47,0.468,0.452,0.475,0.388,0.418,0.51,19.103,-0.064
mofa,sim-data_strategy-mvn_n-500_p-2500_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_4,0.52,0.518,0.5,0.489,0.458,0.478,0.53,17.301,0.035
mofa,sim-data_strategy-mvn_n-500_p-2500_sigma-39_j-3_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_5,0.55,0.545,0.541,0.505,0.417,0.471,0.565,16.22,0.093
mofa,sim-data_strategy-mvn_n-500_p-2500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_1,0.5,0.5,0.5,0.5,0.48,0.49,0.523,18.022,0.0
mofa,sim-data_strategy-mvn_n-500_p-2500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_2,0.55,0.55,0.549,0.527,0.56,0.554,0.524,16.22,0.1
mofa,sim-data_strategy-mvn_n-500_p-2500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_3,0.66,0.66,0.648,0.604,0.7,0.673,0.675,12.255,0.321
mofa,sim-data_strategy-mvn_n-500_p-2500_sigma-39_j-4_latp-30_sy-1_sp-3_ustd-1_fctstr-7,fold_4,0.51,0.51,0.51,0.505,0.5,0.505,0.52,17.661,0.02
